0.000000000e+00 -3.857411610e-12 -4.903664783e-15  3.062271551e+01
1.000000000e-02 -2.335662990e-11 -2.959107309e-14  3.062271551e+01
2.000000000e-02 -4.362210441e-11 -5.530390593e-14  3.062271550e+01
3.000000000e-02 -6.312305692e-11 -8.007984032e-14  3.062271550e+01
4.000000000e-02 -8.917372711e-11 -1.131646071e-13  3.062271549e+01
5.000000000e-02 -1.086775066e-10 -1.380106741e-13  3.062271549e+01
6.000000000e-02 -1.375811230e-10 -1.748037025e-13  3.062271548e+01
7.000000000e-02 -1.650169063e-10 -2.097918426e-13  3.062271548e+01
8.000000000e-02 -1.936695635e-10 -2.463559596e-13  3.062271547e+01
9.000000000e-02 -2.270123963e-10 -2.889325007e-13  3.062271547e+01
1.000000000e-01 -2.652687432e-10 -3.378083066e-13  3.062271546e+01
1.100000000e-01 -2.956220259e-10 -3.767066086e-13  3.062271546e+01
1.200000000e-01 -3.307636892e-10 -4.217241308e-13  3.062271545e+01
1.300000000e-01 -3.709684299e-10 -4.732605386e-13  3.062271545e+01
1.400000000e-01 -4.091829589e-10 -5.222900333e-13  3.062271544e+01
1.500000000e-01 -4.465667838e-10 -5.703604107e-13  3.062271544e+01
1.600000000e-01 -4.889260540e-10 -6.247949218e-13  3.062271543e+01
1.700000000e-01 -5.389415759e-10 -6.890436428e-13  3.062271543e+01
1.800000000e-01 -5.775941147e-10 -7.389165111e-13  3.062271543e+01
1.900000000e-01 -6.156533069e-10 -7.880323129e-13  3.062271542e+01
2.000000000e-01 -6.564375036e-10 -8.407508366e-13  3.062271542e+01
2.100000000e-01 -6.983359749e-10 -8.949147381e-13  3.062271541e+01
2.200000000e-01 -7.416787369e-10 -9.510054950e-13  3.062271541e+01
2.300000000e-01 -7.908514582e-10 -1.014592117e-12  3.062271540e+01
2.400000000e-01 -8.336029930e-10 -1.070070824e-12  3.062271540e+01
2.500000000e-01 -8.761775682e-10 -1.125357382e-12  3.062271540e+01
2.600000000e-01 -9.131366877e-10 -1.173512607e-12  3.062271539e+01
2.700000000e-01 -9.594445717e-10 -1.233759373e-12  3.062271539e+01
2.800000000e-01 -1.003417133e-09 -1.290918513e-12  3.062271538e+01
