0.000000000e+00  6.186688730e-13 -1.604213339e-02 -4.632576885e-01 -1.520355910e+00 -1.719503986e-01  9.544081803e-05  6.186688722e-13  1.658505255e-02 -4.633580321e-01 -1.520327227e+00 -1.719504142e-01  9.543921729e-05  1.136068254e-01  1.449586119e-02 -2.559445340e-03 -1.781405283e-02  1.134145448e-01 -1.462151687e-02  2.542953658e-03 -1.781995687e-02
1.000000000e-02 -2.909457916e-10 -1.604212060e-02 -4.632573686e-01 -1.520355373e+00 -1.719498746e-01  9.550499048e-05  4.892404869e-09  1.658506124e-02 -4.633576988e-01 -1.520326662e+00 -1.719498730e-01  9.548155071e-05  1.136068913e-01  1.449586324e-02 -2.559447980e-03 -1.781404038e-02  1.134146103e-01 -1.462151495e-02  2.542955981e-03 -1.781994442e-02
2.000000000e-02  7.671759302e-10 -1.604209609e-02 -4.632569874e-01 -1.520354748e+00 -1.719492456e-01  9.561694610e-05  1.209551162e-08  1.658507560e-02 -4.633573040e-01 -1.520325997e+00 -1.719492163e-01  9.555108792e-05  1.136069686e-01  1.449586682e-02 -2.559451167e-03 -1.781402575e-02  1.134146871e-01 -1.462151135e-02  2.542958606e-03 -1.781992979e-02
3.000000000e-02  1.941881874e-09 -1.604206775e-02 -4.632565446e-01 -1.520354025e+00 -1.719484975e-01  9.574651345e-05  2.042694552e-08  1.658509174e-02 -4.633568419e-01 -1.520325228e+00 -1.719484365e-01  9.563033542e-05  1.136070580e-01  1.449587087e-02 -2.559454844e-03 -1.781400882e-02  1.134147759e-01 -1.462150712e-02  2.542961634e-03 -1.781991286e-02
4.000000000e-02  1.996088319e-09 -1.604204316e-02 -4.632560303e-01 -1.520353189e+00 -1.719476096e-01  9.586947444e-05  2.873036586e-08  1.658510616e-02 -4.633563119e-01 -1.520324349e+00 -1.719475202e-01  9.570954443e-05  1.136071604e-01  1.449587434e-02 -2.559458970e-03 -1.781398941e-02  1.134148777e-01 -1.462150328e-02  2.542965179e-03 -1.781989345e-02
5.000000000e-02  1.834385113e-09 -1.604202047e-02 -4.632554488e-01 -1.520352247e+00 -1.719465931e-01  9.599949612e-05  3.787231826e-08  1.658512553e-02 -4.633557145e-01 -1.520323364e+00 -1.719464724e-01  9.578897063e-05  1.136072754e-01  1.449587799e-02 -2.559463583e-03 -1.781396760e-02  1.134149920e-01 -1.462149908e-02  2.542969168e-03 -1.781987164e-02
6.000000000e-02  3.752680602e-10 -1.604199591e-02 -4.632547990e-01 -1.520351195e+00 -1.719454394e-01  9.611940651e-05  4.679461860e-08  1.658513551e-02 -4.633550479e-01 -1.520322270e+00 -1.719452918e-01  9.586910570e-05  1.136074033e-01  1.449588092e-02 -2.559468625e-03 -1.781394334e-02  1.134151191e-01 -1.462149543e-02  2.542973681e-03 -1.781984738e-02
7.000000000e-02 -1.802474058e-09 -1.604197580e-02 -4.632540783e-01 -1.520350032e+00 -1.719441509e-01  9.623956960e-05  5.608140390e-08  1.658514871e-02 -4.633543142e-01 -1.520321068e+00 -1.719439748e-01  9.594323985e-05  1.136075441e-01  1.449588360e-02 -2.559474137e-03 -1.781391661e-02  1.134152590e-01 -1.462149183e-02  2.542978680e-03 -1.781982065e-02
8.000000000e-02 -4.608689332e-09 -1.604195688e-02 -4.632532924e-01 -1.520348765e+00 -1.719427335e-01  9.636014938e-05  6.578937876e-08  1.658516200e-02 -4.633535116e-01 -1.520319758e+00 -1.719425282e-01  9.601807855e-05  1.136076975e-01  1.449588612e-02 -2.559480107e-03 -1.781388750e-02  1.134154114e-01 -1.462148823e-02  2.542984149e-03 -1.781979155e-02
9.000000000e-02 -8.311584422e-09 -1.604193802e-02 -4.632524366e-01 -1.520347385e+00 -1.719411773e-01  9.647764744e-05  7.569116040e-08  1.658517172e-02 -4.633526397e-01 -1.520318339e+00 -1.719409458e-01  9.609664689e-05  1.136078639e-01  1.449588825e-02 -2.559486539e-03 -1.781385592e-02  1.134155767e-01 -1.462148483e-02  2.542990120e-03 -1.781975996e-02
