0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.000000000e-02 -9.213999181e-09  2.355551553e-09  8.383786461e-07
2.000000000e-02 -2.050239755e-08  6.100753617e-09  1.667891531e-06
3.000000000e-02 -3.412838597e-08  1.051432601e-08  2.488577818e-06
4.000000000e-02 -5.067269939e-08  1.507527668e-08  3.300475340e-06
5.000000000e-02 -6.991867623e-08  1.940841338e-08  4.103796479e-06
6.000000000e-02 -9.202242372e-08  2.396858583e-08  4.898466936e-06
7.000000000e-02 -1.169679715e-07  2.842386891e-08  5.684664609e-06
8.000000000e-02 -1.446132697e-07  3.258081005e-08  6.462501863e-06
9.000000000e-02 -1.751445213e-07  3.699296724e-08  7.231931801e-06
1.000000000e-01 -2.084812742e-07  4.132297002e-08  7.993061726e-06
1.100000000e-01 -2.446086960e-07  4.556392767e-08  8.746099628e-06
1.200000000e-01 -2.836439898e-07  4.978384533e-08  9.490992639e-06
1.300000000e-01 -3.253387946e-07  5.433971180e-08  1.022778151e-05
1.400000000e-01 -3.698404558e-07  5.859190107e-08  1.095668236e-05
1.500000000e-01 -4.172737291e-07  6.284823312e-08  1.167771735e-05
1.600000000e-01 -4.675440439e-07  6.721323660e-08  1.239086763e-05
1.700000000e-01 -5.205092939e-07  7.145996680e-08  1.309630091e-05
1.800000000e-01 -5.763032753e-07  7.567914126e-08  1.379414669e-05
1.900000000e-01 -6.348266402e-07  8.008275953e-08  1.448435167e-05
2.000000000e-01 -6.962913011e-07  8.463721200e-08  1.516699923e-05
2.100000000e-01 -7.603793623e-07  8.893350434e-08  1.584223212e-05
2.200000000e-01 -8.274857124e-07  9.318867816e-08  1.651003110e-05
2.300000000e-01 -8.973791383e-07  9.767665694e-08  1.717043597e-05
2.400000000e-01 -9.699938920e-07  1.020232190e-07  1.782363135e-05
2.500000000e-01 -1.045381799e-06  1.065229699e-07  1.846961243e-05
2.600000000e-01 -1.123638662e-06  1.111545657e-07  1.910850018e-05
2.700000000e-01 -1.204641141e-06  1.157988279e-07  1.974022950e-05
2.800000000e-01 -1.288431304e-06  1.204254815e-07  2.036499181e-05
2.900000000e-01 -1.375869646e-06  1.240456126e-07  2.098276463e-05
3.000000000e-01 -1.465994063e-06  1.276727517e-07  2.159362579e-05
3.100000000e-01 -1.557776447e-06  1.324165279e-07  2.219765766e-05
3.200000000e-01 -1.652195489e-06  1.376671652e-07  2.279488639e-05
3.300000000e-01 -1.749330319e-06  1.425234610e-07  2.338546341e-05
3.400000000e-01 -1.849368871e-06  1.478977299e-07  2.396940527e-05
3.500000000e-01 -1.952295709e-06  1.529639936e-07  2.454673206e-05
3.600000000e-01 -2.057912219e-06  1.581473110e-07  2.511765140e-05
3.700000000e-01 -2.166434741e-06  1.635242678e-07  2.568206192e-05
3.800000000e-01 -2.277929261e-06  1.687152599e-07  2.624003114e-05
3.900000000e-01 -2.391981016e-06  1.738348256e-07  2.679173786e-05
4.000000000e-01 -2.508935967e-06  1.794735740e-07  2.733719594e-05
4.100000000e-01 -2.628620758e-06  1.850937347e-07  2.787642545e-05
4.200000000e-01 -2.751102835e-06  1.905327469e-07  2.840951354e-05
4.300000000e-01 -2.876549558e-06  1.959067406e-07  2.893651274e-05
4.400000000e-01 -3.004862048e-06  2.014116336e-07  2.945736643e-05
4.500000000e-01 -3.135821657e-06  2.067924179e-07  2.997231984e-05
4.600000000e-01 -3.269563523e-06  2.123866178e-07  3.048134776e-05
4.700000000e-01 -3.406277078e-06  2.180678300e-07  3.098444995e-05
4.800000000e-01 -3.545853852e-06  2.236306636e-07  3.148167349e-05
4.900000000e-01 -3.688172658e-06  2.292572661e-07  3.197314615e-05
5.000000000e-01 -3.833201976e-06  2.351007069e-07  3.245894179e-05
5.100000000e-01 -3.981211944e-06  2.410741475e-07  3.293905098e-05
5.200000000e-01 -4.131943154e-06  2.469495262e-07  3.341347520e-05
5.300000000e-01 -4.285489217e-06  2.530227289e-07  3.388237693e-05
5.400000000e-01 -4.441964442e-06  2.587636793e-07  3.434574747e-05
5.500000000e-01 -4.601129353e-06  2.646379113e-07  3.480362756e-05
5.600000000e-01 -4.763112363e-06  2.707533148e-07  3.525609033e-05
5.700000000e-01 -4.928019995e-06  2.768345862e-07  3.570319085e-05
5.800000000e-01 -5.095789991e-06  2.828268740e-07  3.614495940e-05
5.900000000e-01 -5.266108488e-06  2.893024958e-07  3.658146358e-05
6.000000000e-01 -5.439553775e-06  2.956073244e-07  3.701271618e-05
6.100000000e-01 -5.615567726e-06  3.020735607e-07  3.743876307e-05
6.200000000e-01 -5.794829221e-06  3.082877808e-07  3.785968588e-05
6.300000000e-01 -5.976388650e-06  3.146666805e-07  3.827549507e-05
6.400000000e-01 -6.161179887e-06  3.210815788e-07  3.868624883e-05
6.500000000e-01 -6.348405375e-06  3.276419162e-07  3.909200111e-05
6.600000000e-01 -6.538926856e-06  3.339660371e-07  3.949281163e-05
6.700000000e-01 -6.732130681e-06  3.405219461e-07  3.988861589e-05
6.800000000e-01 -6.927834464e-06  3.473418415e-07  4.027962765e-05
6.900000000e-01 -7.126614206e-06  3.539804408e-07  4.066580980e-05
7.000000000e-01 -7.328094225e-06  3.608978053e-07  4.104720553e-05
7.100000000e-01 -7.532441873e-06  3.677185467e-07  4.142384253e-05
7.200000000e-01 -7.739796774e-06  3.743204166e-07  4.179572454e-05
7.300000000e-01 -7.949757697e-06  3.812210477e-07  4.216298170e-05
7.400000000e-01 -8.162695156e-06  3.882039155e-07  4.252560816e-05
7.500000000e-01 -8.378545803e-06  3.952107902e-07  4.288363396e-05
7.600000000e-01 -8.597016105e-06  4.024137738e-07  4.323714318e-05
