8.400000000e-01 -1.892805635e-04  0.000000000e+00 -4.162064727e-05
8.500000000e-01 -1.958104573e-04  0.000000000e+00 -4.304724033e-05
8.600000000e-01 -2.024813171e-04  0.000000000e+00 -4.450399322e-05
8.700000000e-01 -2.092943077e-04  0.000000000e+00 -4.599111930e-05
8.800000000e-01 -2.162505830e-04  0.000000000e+00 -4.750882828e-05
8.900000000e-01 -2.233512863e-04  0.000000000e+00 -4.905732621e-05
9.000000000e-01 -2.305975504e-04  0.000000000e+00 -5.063681547e-05
9.100000000e-01 -2.379904976e-04  0.000000000e+00 -5.224749476e-05
9.200000000e-01 -2.455312395e-04  0.000000000e+00 -5.388955905e-05
9.300000000e-01 -2.532208773e-04  0.000000000e+00 -5.556319965e-05
9.400000000e-01 -2.610605016e-04  0.000000000e+00 -5.726860410e-05
9.500000000e-01 -2.690511928e-04  0.000000000e+00 -5.900595625e-05
9.600000000e-01 -2.771940206e-04  0.000000000e+00 -6.077543618e-05
9.700000000e-01 -2.854900445e-04  0.000000000e+00 -6.257722023e-05
9.800000000e-01 -2.939403135e-04  0.000000000e+00 -6.441148097e-05
9.900000000e-01 -3.025458665e-04  0.000000000e+00 -6.627838720e-05
1.000000000e+00 -3.113077318e-04  0.000000000e+00 -6.817810393e-05
1.010000000e+00 -3.202269275e-04  0.000000000e+00 -7.011079236e-05
1.020000000e+00 -3.293044616e-04  0.000000000e+00 -7.207660992e-05
1.030000000e+00 -3.385413317e-04  0.000000000e+00 -7.407571019e-05
1.040000000e+00 -3.479385254e-04  0.000000000e+00 -7.610824295e-05
1.050000000e+00 -3.574970198e-04  0.000000000e+00 -7.817435412e-05
1.060000000e+00 -3.672177823e-04  0.000000000e+00 -8.027418579e-05
1.070000000e+00 -3.771017699e-04  0.000000000e+00 -8.240787619e-05
1.080000000e+00 -3.871499295e-04  0.000000000e+00 -8.457555971e-05
1.090000000e+00 -3.973631980e-04  0.000000000e+00 -8.677736683e-05
1.100000000e+00 -4.077425024e-04  0.000000000e+00 -8.901342419e-05
1.110000000e+00 -4.182887595e-04  0.000000000e+00 -9.128385450e-05
1.120000000e+00 -4.290028763e-04  0.000000000e+00 -9.358877662e-05
1.130000000e+00 -4.398857497e-04  0.000000000e+00 -9.592830547e-05
1.140000000e+00 -4.509382668e-04  0.000000000e+00 -9.830255207e-05
1.150000000e+00 -4.621613047e-04  0.000000000e+00 -1.007116235e-04
1.160000000e+00 -4.735557307e-04  0.000000000e+00 -1.031556230e-04
1.170000000e+00 -4.851224023e-04  0.000000000e+00 -1.056346498e-04
1.180000000e+00 -4.968621671e-04  0.000000000e+00 -1.081487991e-04
1.190000000e+00 -5.087758630e-04  0.000000000e+00 -1.106981623e-04
1.200000000e+00 -5.208643181e-04  0.000000000e+00 -1.132828269e-04
1.210000000e+00 -5.331283508e-04  0.000000000e+00 -1.159028762e-04
1.220000000e+00 -5.455687697e-04  0.000000000e+00 -1.185583898e-04
1.230000000e+00 -5.581863738e-04  0.000000000e+00 -1.212494432e-04
1.240000000e+00 -5.709819525e-04  0.000000000e+00 -1.239761078e-04
1.250000000e+00 -5.839562856e-04  0.000000000e+00 -1.267384513e-04
1.260000000e+00 -5.971101431e-04  0.000000000e+00 -1.295365372e-04
1.270000000e+00 -6.104442857e-04  0.000000000e+00 -1.323704250e-04
1.280000000e+00 -6.239594642e-04  0.000000000e+00 -1.352401705e-04
1.290000000e+00 -6.376564204e-04  0.000000000e+00 -1.381458250e-04
1.300000000e+00 -6.515358861e-04  0.000000000e+00 -1.410874363e-04
1.310000000e+00 -6.655985839e-04  0.000000000e+00 -1.440650479e-04
1.320000000e+00 -6.798452270e-04  0.000000000e+00 -1.470786994e-04
1.330000000e+00 -6.942765190e-04  0.000000000e+00 -1.501284262e-04
1.340000000e+00 -7.088931542e-04  0.000000000e+00 -1.532142601e-04
1.350000000e+00 -7.236958178e-04  0.000000000e+00 -1.563362284e-04
1.360000000e+00 -7.386851851e-04  0.000000000e+00 -1.594943547e-04
1.370000000e+00 -7.538619227e-04  0.000000000e+00 -1.626886585e-04
1.380000000e+00 -7.692266875e-04  0.000000000e+00 -1.659191553e-04
1.390000000e+00 -7.847801273e-04  0.000000000e+00 -1.691858564e-04
1.400000000e+00 -8.005228807e-04  0.000000000e+00 -1.724887693e-04
1.410000000e+00 -8.164555770e-04  0.000000000e+00 -1.758278974e-04
1.420000000e+00 -8.325788364e-04  0.000000000e+00 -1.792032400e-04
1.430000000e+00 -8.488932700e-04  0.000000000e+00 -1.826147925e-04
1.440000000e+00 -8.653994796e-04  0.000000000e+00 -1.860625462e-04
1.450000000e+00 -8.820980580e-04  0.000000000e+00 -1.895464883e-04
1.460000000e+00 -8.989895890e-04  0.000000000e+00 -1.930666022e-04
1.470000000e+00 -9.160746472e-04  0.000000000e+00 -1.966228670e-04
1.480000000e+00 -9.333537982e-04  0.000000000e+00 -2.002152581e-04
1.490000000e+00 -9.508275987e-04  0.000000000e+00 -2.038437464e-04
1.500000000e+00 -9.684965964e-04  0.000000000e+00 -2.075082994e-04
1.510000000e+00 -9.863613299e-04  0.000000000e+00 -2.112088800e-04
1.520000000e+00 -1.004422329e-03  0.000000000e+00 -2.149454475e-04
1.530000000e+00 -1.022680115e-03  0.000000000e+00 -2.187179570e-04
1.540000000e+00 -1.041135199e-03  0.000000000e+00 -2.225263595e-04
1.550000000e+00 -1.059788085e-03  0.000000000e+00 -2.263706023e-04
1.560000000e+00 -1.078639267e-03  0.000000000e+00 -2.302506283e-04
1.570000000e+00 -1.097689230e-03  0.000000000e+00 -2.341663768e-04
1.580000000e+00 -1.116938452e-03  0.000000000e+00 -2.381177829e-04
1.590000000e+00 -1.136387400e-03  0.000000000e+00 -2.421047777e-04
1.600000000e+00 -1.156036533e-03  0.000000000e+00 -2.461272883e-04
1.610000000e+00 -1.175886303e-03  0.000000000e+00 -2.501852380e-04
1.620000000e+00 -1.195937151e-03  0.000000000e+00 -2.542785459e-04
1.630000000e+00 -1.216189509e-03  0.000000000e+00 -2.584071272e-04
1.640000000e+00 -1.236643803e-03  0.000000000e+00 -2.625708932e-04
1.650000000e+00 -1.257300449e-03  0.000000000e+00 -2.667697512e-04
1.660000000e+00 -1.278159855e-03  0.000000000e+00 -2.710036047e-04
1.670000000e+00 -1.299222417e-03  0.000000000e+00 -2.752723529e-04
1.680000000e+00 -1.320488529e-03  0.000000000e+00 -2.795758915e-04
1.690000000e+00 -1.341958570e-03  0.000000000e+00 -2.839141119e-04
1.700000000e+00 -1.363632914e-03  0.000000000e+00 -2.882869018e-04
1.710000000e+00 -1.385511926e-03  0.000000000e+00 -2.926941450e-04
1.720000000e+00 -1.407595962e-03  0.000000000e+00 -2.971357212e-04
1.730000000e+00 -1.429885371e-03  0.000000000e+00 -3.016115064e-04
1.740000000e+00 -1.452380492e-03  0.000000000e+00 -3.061213727e-04
1.750000000e+00 -1.475081655e-03  0.000000000e+00 -3.106651882e-04
1.760000000e+00 -1.497989184e-03  0.000000000e+00 -3.152428172e-04
1.770000000e+00 -1.521103394e-03  0.000000000e+00 -3.198541202e-04
1.780000000e+00 -1.544424590e-03  0.000000000e+00 -3.244989538e-04
1.790000000e+00 -1.567953070e-03  0.000000000e+00 -3.291771708e-04
1.800000000e+00 -1.591689124e-03  0.000000000e+00 -3.338886202e-04
1.810000000e+00 -1.615633034e-03  0.000000000e+00 -3.386331470e-04
1.820000000e+00 -1.639785072e-03  0.000000000e+00 -3.434105926e-04
1.830000000e+00 -1.664145503e-03  0.000000000e+00 -3.482207946e-04
1.840000000e+00 -1.688714585e-03  0.000000000e+00 -3.530635867e-04
1.850000000e+00 -1.713492566e-03  0.000000000e+00 -3.579387989e-04
1.860000000e+00 -1.738479686e-03  0.000000000e+00 -3.628462576e-04
1.870000000e+00 -1.763676179e-03  0.000000000e+00 -3.677857851e-04
1.880000000e+00 -1.789082268e-03  0.000000000e+00 -3.727572004e-04
1.890000000e+00 -1.814698169e-03  0.000000000e+00 -3.777603185e-04
1.900000000e+00 -1.840524091e-03  0.000000000e+00 -3.827949507e-04
1.910000000e+00 -1.866560235e-03  0.000000000e+00 -3.878609049e-04
1.920000000e+00 -1.892806792e-03  0.000000000e+00 -3.929579849e-04
1.930000000e+00 -1.919263946e-03  0.000000000e+00 -3.980859912e-04
1.940000000e+00 -1.945931875e-03  0.000000000e+00 -4.032447206e-04
1.950000000e+00 -1.972810746e-03  0.000000000e+00 -4.084339661e-04
1.960000000e+00 -1.999900721e-03  0.000000000e+00 -4.136535172e-04
1.970000000e+00 -2.027201951e-03  0.000000000e+00 -4.189031599e-04
1.980000000e+00 -2.054714582e-03  0.000000000e+00 -4.241826765e-04
1.990000000e+00 -2.082438750e-03  0.000000000e+00 -4.294918458e-04
2.000000000e+00 -2.110374584e-03  0.000000000e+00 -4.348304429e-04
2.010000000e+00 -2.138522207e-03  0.000000000e+00 -4.401982397e-04
2.020000000e+00 -2.166881731e-03  0.000000000e+00 -4.455950043e-04
2.030000000e+00 -2.195453263e-03  0.000000000e+00 -4.510205015e-04
2.040000000e+00 -2.224236899e-03  0.000000000e+00 -4.564744924e-04
2.050000000e+00 -2.253232732e-03  0.000000000e+00 -4.619567349e-04
2.060000000e+00 -2.282440843e-03  0.000000000e+00 -4.674669832e-04
2.070000000e+00 -2.311861308e-03  0.000000000e+00 -4.730049885e-04
2.080000000e+00 -2.341494193e-03  0.000000000e+00 -4.785704981e-04
2.090000000e+00 -2.371339559e-03  0.000000000e+00 -4.841632562e-04
2.100000000e+00 -2.401397458e-03  0.000000000e+00 -4.897830036e-04
2.110000000e+00 -2.431667934e-03  0.000000000e+00 -4.954294779e-04
2.120000000e+00 -2.462151025e-03  0.000000000e+00 -5.011024131e-04
2.130000000e+00 -2.492846759e-03  0.000000000e+00 -5.068015400e-04
2.140000000e+00 -2.523755159e-03  0.000000000e+00 -5.125265864e-04
2.150000000e+00 -2.554876240e-03  0.000000000e+00 -5.182772763e-04
2.160000000e+00 -2.586210008e-03  0.000000000e+00 -5.240533310e-04
2.170000000e+00 -2.617756462e-03  0.000000000e+00 -5.298544683e-04
2.180000000e+00 -2.649515596e-03  0.000000000e+00 -5.356804028e-04
2.190000000e+00 -2.681487392e-03  0.000000000e+00 -5.415308461e-04
2.200000000e+00 -2.713671830e-03  0.000000000e+00 -5.474055065e-04
2.210000000e+00 -2.746068879e-03  0.000000000e+00 -5.533040892e-04
2.220000000e+00 -2.778678501e-03  0.000000000e+00 -5.592262964e-04
2.230000000e+00 -2.811500651e-03  0.000000000e+00 -5.651718272e-04
2.240000000e+00 -2.844535278e-03  0.000000000e+00 -5.711403774e-04
2.250000000e+00 -2.877782322e-03  0.000000000e+00 -5.771316401e-04
2.260000000e+00 -2.911241717e-03  0.000000000e+00 -5.831453052e-04
2.270000000e+00 -2.944913388e-03  0.000000000e+00 -5.891810597e-04
2.280000000e+00 -2.978797255e-03  0.000000000e+00 -5.952385876e-04
2.290000000e+00 -3.012893228e-03  0.000000000e+00 -6.013175699e-04
2.300000000e+00 -3.047201214e-03  0.000000000e+00 -6.074176849e-04
2.310000000e+00 -3.081721108e-03  0.000000000e+00 -6.135386078e-04
2.320000000e+00 -3.116452802e-03  0.000000000e+00 -6.196800110e-04
2.330000000e+00 -3.151396178e-03  0.000000000e+00 -6.258415642e-04
2.340000000e+00 -3.186551111e-03  0.000000000e+00 -6.320229341e-04
2.350000000e+00 -3.221917472e-03  0.000000000e+00 -6.382237846e-04
2.360000000e+00 -3.257495122e-03  0.000000000e+00 -6.444437771e-04
2.370000000e+00 -3.293283915e-03  0.000000000e+00 -6.506825700e-04
