0.000000000e+00 -5.187973537e-03 -6.504601326e-06  2.400573581e-01
1.000000000e-02 -5.187973174e-03 -6.504601326e-06  2.400573582e-01
2.000000000e-02 -5.187970638e-03 -6.504601326e-06  2.400573588e-01
3.000000000e-02 -5.187963766e-03 -6.504601326e-06  2.400573603e-01
4.000000000e-02 -5.187950409e-03 -6.504601326e-06  2.400573632e-01
5.000000000e-02 -5.187928433e-03 -6.504601326e-06  2.400573681e-01
6.000000000e-02 -5.187895715e-03 -6.504601326e-06  2.400573753e-01
7.000000000e-02 -5.187850144e-03 -6.504601326e-06  2.400573854e-01
8.000000000e-02 -5.187789625e-03 -6.504601326e-06  2.400573988e-01
9.000000000e-02 -5.187712072e-03 -6.504601326e-06  2.400574160e-01
1.000000000e-01 -5.187615416e-03 -6.504601326e-06  2.400574373e-01
1.100000000e-01 -5.187497597e-03 -6.504601326e-06  2.400574634e-01
1.200000000e-01 -5.187356571e-03 -6.504601326e-06  2.400574946e-01
1.300000000e-01 -5.187190305e-03 -6.504601326e-06  2.400575314e-01
1.400000000e-01 -5.186996780e-03 -6.504601326e-06  2.400575742e-01
1.500000000e-01 -5.186773987e-03 -6.504601326e-06  2.400576235e-01
1.600000000e-01 -5.186519933e-03 -6.504601326e-06  2.400576797e-01
1.700000000e-01 -5.186232636e-03 -6.504601326e-06  2.400577433e-01
1.800000000e-01 -5.185910127e-03 -6.504601326e-06  2.400578146e-01
1.900000000e-01 -5.185550450e-03 -6.504601326e-06  2.400578942e-01
2.000000000e-01 -5.185151661e-03 -6.504601326e-06  2.400579824e-01
2.100000000e-01 -5.184711829e-03 -6.504601326e-06  2.400580797e-01
2.200000000e-01 -5.184229035e-03 -6.504601326e-06  2.400581865e-01
2.300000000e-01 -5.183701373e-03 -6.504601326e-06  2.400583032e-01
2.400000000e-01 -5.183126949e-03 -6.504601326e-06  2.400584303e-01
2.500000000e-01 -5.182503882e-03 -6.504601326e-06  2.400585681e-01
2.600000000e-01 -5.181830303e-03 -6.504601326e-06  2.400587171e-01
2.700000000e-01 -5.181104357e-03 -6.504601326e-06  2.400588776e-01
2.800000000e-01 -5.180324199e-03 -6.504601326e-06  2.400590502e-01
2.900000000e-01 -5.179487997e-03 -6.504601326e-06  2.400592351e-01
3.000000000e-01 -5.178593932e-03 -6.504601326e-06  2.400594328e-01
3.100000000e-01 -5.177640198e-03 -6.504601326e-06  2.400596437e-01
3.200000000e-01 -5.176624999e-03 -6.504601326e-06  2.400598682e-01
3.300000000e-01 -5.175546552e-03 -6.504601326e-06  2.400601066e-01
3.400000000e-01 -5.174403089e-03 -6.504601326e-06  2.400603594e-01
3.500000000e-01 -5.173192850e-03 -6.504601326e-06  2.400606269e-01
3.600000000e-01 -5.171914089e-03 -6.504601326e-06  2.400609095e-01
3.700000000e-01 -5.170565074e-03 -6.504601326e-06  2.400612077e-01
3.800000000e-01 -5.169144081e-03 -6.504601326e-06  2.400615217e-01
3.900000000e-01 -5.167649401e-03 -6.504601326e-06  2.400618520e-01
4.000000000e-01 -5.166079338e-03 -6.504601326e-06  2.400621989e-01
4.100000000e-01 -5.164432204e-03 -6.504601326e-06  2.400625628e-01
4.200000000e-01 -5.162706326e-03 -6.504601326e-06  2.400629441e-01
4.300000000e-01 -5.160900043e-03 -6.504601326e-06  2.400633431e-01
4.400000000e-01 -5.159011705e-03 -6.504601326e-06  2.400637601e-01
4.500000000e-01 -5.157039674e-03 -6.504601326e-06  2.400641956e-01
4.600000000e-01 -5.154982323e-03 -6.504601326e-06  2.400646498e-01
4.700000000e-01 -5.152838040e-03 -6.504601326e-06  2.400651232e-01
4.800000000e-01 -5.150605220e-03 -6.504601326e-06  2.400656161e-01
4.900000000e-01 -5.148282275e-03 -6.504601326e-06  2.400661288e-01
5.000000000e-01 -5.145867624e-03 -6.504601326e-06  2.400666616e-01
5.100000000e-01 -5.143359701e-03 -6.504601326e-06  2.400672149e-01
5.200000000e-01 -5.140756949e-03 -6.504601326e-06  2.400677891e-01
5.300000000e-01 -5.138057827e-03 -6.504601326e-06  2.400683844e-01
5.400000000e-01 -5.135260800e-03 -6.504601326e-06  2.400690012e-01
5.500000000e-01 -5.132364349e-03 -6.504601326e-06  2.400696398e-01
5.600000000e-01 -5.129366964e-03 -6.504601326e-06  2.400703005e-01
5.700000000e-01 -5.126267149e-03 -6.504601326e-06  2.400709837e-01
5.800000000e-01 -5.123063417e-03 -6.504601326e-06  2.400716896e-01
5.900000000e-01 -5.119754293e-03 -6.504601326e-06  2.400724186e-01
6.000000000e-01 -5.116338316e-03 -6.504601326e-06  2.400731709e-01
6.100000000e-01 -5.112814032e-03 -6.504601326e-06  2.400739469e-01
6.200000000e-01 -5.109180002e-03 -6.504601326e-06  2.400747470e-01
6.300000000e-01 -5.105434798e-03 -6.504601326e-06  2.400755712e-01
6.400000000e-01 -5.101577001e-03 -6.504601326e-06  2.400764201e-01
6.500000000e-01 -5.097605206e-03 -6.504601326e-06  2.400772938e-01
6.600000000e-01 -5.093518018e-03 -6.504601326e-06  2.400781927e-01
6.700000000e-01 -5.089314052e-03 -6.504601326e-06  2.400791170e-01
6.800000000e-01 -5.084991937e-03 -6.504601326e-06  2.400800669e-01
6.900000000e-01 -5.080550312e-03 -6.504601326e-06  2.400810429e-01
7.000000000e-01 -5.075987826e-03 -6.504601326e-06  2.400820452e-01
7.100000000e-01 -5.071303141e-03 -6.504601326e-06  2.400830739e-01
7.200000000e-01 -5.066494928e-03 -6.504601326e-06  2.400841295e-01
7.300000000e-01 -5.061561872e-03 -6.504601326e-06  2.400852121e-01
7.400000000e-01 -5.056502665e-03 -6.504601326e-06  2.400863221e-01
7.500000000e-01 -5.051316015e-03 -6.504601326e-06  2.400874596e-01
7.600000000e-01 -5.046000637e-03 -6.504601326e-06  2.400886250e-01
7.700000000e-01 -5.040555258e-03 -6.504601326e-06  2.400898184e-01
7.800000000e-01 -5.034978617e-03 -6.504601326e-06  2.400910402e-01
7.900000000e-01 -5.029269462e-03 -6.504601326e-06  2.400922905e-01
8.000000000e-01 -5.023426555e-03 -6.504601326e-06  2.400935696e-01
8.100000000e-01 -5.017448665e-03 -6.504601326e-06  2.400948778e-01
8.200000000e-01 -5.011334575e-03 -6.504601326e-06  2.400962152e-01
8.300000000e-01 -5.005083077e-03 -6.504601326e-06  2.400975821e-01
8.400000000e-01 -4.998692974e-03 -6.504601326e-06  2.400989788e-01
8.500000000e-01 -4.992163080e-03 -6.504601326e-06  2.401004054e-01
8.600000000e-01 -4.985492220e-03 -6.504601326e-06  2.401018621e-01
8.700000000e-01 -4.978679230e-03 -6.504601326e-06  2.401033492e-01
8.800000000e-01 -4.971722954e-03 -6.504601326e-06  2.401048669e-01
8.900000000e-01 -4.964622251e-03 -6.504601326e-06  2.401064154e-01
9.000000000e-01 -4.957375987e-03 -6.504601326e-06  2.401079949e-01
9.100000000e-01 -4.949983040e-03 -6.504601326e-06  2.401096056e-01
9.200000000e-01 -4.942442298e-03 -6.504601326e-06  2.401112477e-01
9.300000000e-01 -4.934752660e-03 -6.504601326e-06  2.401129213e-01
9.400000000e-01 -4.926913036e-03 -6.504601326e-06  2.401146267e-01
9.500000000e-01 -4.918922345e-03 -6.504601326e-06  2.401163641e-01
9.600000000e-01 -4.910779517e-03 -6.504601326e-06  2.401181335e-01
9.700000000e-01 -4.902483493e-03 -6.504601326e-06  2.401199353e-01
9.800000000e-01 -4.894033224e-03 -6.504601326e-06  2.401217696e-01
9.900000000e-01 -4.885427671e-03 -6.504601326e-06  2.401236365e-01
1.000000000e+00 -4.876665806e-03 -6.504601326e-06  2.401255362e-01
1.010000000e+00 -4.867746610e-03 -6.504601326e-06  2.401274689e-01
1.020000000e+00 -4.858669076e-03 -6.504601326e-06  2.401294347e-01
1.030000000e+00 -4.849432206e-03 -6.504601326e-06  2.401314338e-01
1.040000000e+00 -4.840035012e-03 -6.504601326e-06  2.401334664e-01
1.050000000e+00 -4.830476518e-03 -6.504601326e-06  2.401355325e-01
1.060000000e+00 -4.820755755e-03 -6.504601326e-06  2.401376323e-01
1.070000000e+00 -4.810871767e-03 -6.504601326e-06  2.401397660e-01
1.080000000e+00 -4.800823608e-03 -6.504601326e-06  2.401419337e-01
1.090000000e+00 -4.790610339e-03 -6.504601326e-06  2.401441355e-01
1.100000000e+00 -4.780231035e-03 -6.504601326e-06  2.401463715e-01
1.110000000e+00 -4.769684778e-03 -6.504601326e-06  2.401486420e-01
1.120000000e+00 -4.758970661e-03 -6.504601326e-06  2.401509469e-01
1.130000000e+00 -4.748087788e-03 -6.504601326e-06  2.401532864e-01
1.140000000e+00 -4.737035271e-03 -6.504601326e-06  2.401556607e-01
1.150000000e+00 -4.725812233e-03 -6.504601326e-06  2.401580697e-01
1.160000000e+00 -4.714417807e-03 -6.504601326e-06  2.401605137e-01
1.170000000e+00 -4.702851135e-03 -6.504601326e-06  2.401629928e-01
1.180000000e+00 -4.691111370e-03 -6.504601326e-06  2.401655069e-01
1.190000000e+00 -4.679197674e-03 -6.504601326e-06  2.401680563e-01
1.200000000e+00 -4.667109219e-03 -6.504601326e-06  2.401706409e-01
1.210000000e+00 -4.654845187e-03 -6.504601326e-06  2.401732610e-01
1.220000000e+00 -4.642404768e-03 -6.504601326e-06  2.401759165e-01
1.230000000e+00 -4.629787164e-03 -6.504601326e-06  2.401786076e-01
1.240000000e+00 -4.616991585e-03 -6.504601326e-06  2.401813342e-01
1.250000000e+00 -4.604017252e-03 -6.504601326e-06  2.401840966e-01
1.260000000e+00 -4.590863394e-03 -6.504601326e-06  2.401868946e-01
1.270000000e+00 -4.577529252e-03 -6.504601326e-06  2.401897285e-01
1.280000000e+00 -4.564014073e-03 -6.504601326e-06  2.401925983e-01
1.290000000e+00 -4.550317117e-03 -6.504601326e-06  2.401955039e-01
1.300000000e+00 -4.536437651e-03 -6.504601326e-06  2.401984455e-01
1.310000000e+00 -4.522374953e-03 -6.504601326e-06  2.402014232e-01
1.320000000e+00 -4.508128310e-03 -6.504601326e-06  2.402044368e-01
1.330000000e+00 -4.493697018e-03 -6.504601326e-06  2.402074865e-01
1.340000000e+00 -4.479080383e-03 -6.504601326e-06  2.402105724e-01
1.350000000e+00 -4.464277720e-03 -6.504601326e-06  2.402136943e-01
1.360000000e+00 -4.449288352e-03 -6.504601326e-06  2.402168525e-01
1.370000000e+00 -4.434111615e-03 -6.504601326e-06  2.402200468e-01
1.380000000e+00 -4.418746850e-03 -6.504601326e-06  2.402232773e-01
1.390000000e+00 -4.403193410e-03 -6.504601326e-06  2.402265440e-01
1.400000000e+00 -4.387450657e-03 -6.504601326e-06  2.402298469e-01
1.410000000e+00 -4.371517960e-03 -6.504601326e-06  2.402331860e-01
