0.000000000e+00 -1.536070836e-10  5.651182236e-10 -5.235990029e-01  1.047197991e+00 -5.235989997e-01 -3.968264609e-10 -1.535049136e-10  2.542624598e-10 -5.235990023e-01  1.047197990e+00 -5.235990005e-01  1.369672425e-09  1.745329001e+00  1.003084474e-10 -1.829217525e-11 -5.235990001e-01  1.745329001e+00 -8.521380211e-11  1.725912581e-11 -5.235990001e-01
1.000000000e-02 -2.072693155e-09  8.106511659e-09 -5.235990474e-01  1.047197871e+00 -5.235990012e-01 -6.568598132e-09 -2.043615368e-09  3.539399701e-09 -5.235990391e-01  1.047197858e+00 -5.235990128e-01  1.930955372e-08  1.745329011e+00  1.452322562e-09 -2.563148547e-10 -5.235990016e-01  1.745329011e+00 -1.194536731e-09  2.491788485e-10 -5.235990016e-01
2.000000000e-02 -5.256821912e-09  2.043316230e-08 -5.235991068e-01  1.047197744e+00 -5.235990097e-01 -2.114432367e-08 -5.841482007e-09  8.119485603e-09 -5.235990849e-01  1.047197712e+00 -5.235990412e-01  5.114283484e-08  1.745329021e+00  2.896331080e-09 -4.856121546e-10 -5.235990032e-01  1.745329021e+00 -2.184930217e-09  4.785461827e-10 -5.235990032e-01
3.000000000e-02 -6.897031162e-09  3.476437160e-08 -5.235991783e-01  1.047197607e+00 -5.235990281e-01 -3.975012274e-08 -1.172424423e-08  1.330045116e-08 -5.235991423e-01  1.047197555e+00 -5.235990820e-01  8.805971298e-08  1.745329030e+00  4.391212841e-09 -7.045070894e-10 -5.235990048e-01  1.745329030e+00 -3.097272809e-09  7.085566274e-10 -5.235990048e-01
4.000000000e-02 -1.106800789e-08  4.964737329e-08 -5.235992614e-01  1.047197460e+00 -5.235990585e-01 -5.441998639e-08 -1.449692226e-08  2.012308556e-08 -5.235992113e-01  1.047197388e+00 -5.235991321e-01  1.210344231e-07  1.745329040e+00  5.911206864e-09 -9.123953699e-10 -5.235990063e-01  1.745329040e+00 -3.956888384e-09  9.415855051e-10 -5.235990063e-01
5.000000000e-02 -1.499283988e-08  6.603895457e-08 -5.235993564e-01  1.047197303e+00 -5.235990980e-01 -7.519030062e-08 -1.836320817e-08  2.516783184e-08 -5.235992919e-01  1.047197211e+00 -5.235991947e-01  1.576120940e-07  1.745329050e+00  7.450376106e-09 -1.108142617e-09 -5.235990079e-01  1.745329049e+00 -4.770437339e-09  1.178236205e-09 -5.235990079e-01
6.000000000e-02 -1.688020878e-08  8.118636836e-08 -5.235994623e-01  1.047197135e+00 -5.235991509e-01 -8.822348189e-08 -2.277089433e-08  3.426722159e-08 -5.235993849e-01  1.047197024e+00 -5.235992655e-01  1.871615246e-07  1.745329059e+00  9.020561262e-09 -1.293311532e-09 -5.235990095e-01  1.745329059e+00 -5.525824994e-09  1.417272665e-09 -5.235990095e-01
7.000000000e-02 -2.356248286e-08  9.785857654e-08 -5.235995803e-01  1.047196957e+00 -5.235992129e-01 -1.063955345e-07 -2.331870508e-08  4.155081357e-08 -5.235994892e-01  1.047196827e+00 -5.235993486e-01  2.193480615e-07  1.745329069e+00  1.061235349e-08 -1.466715406e-09 -5.235990111e-01  1.745329068e+00 -6.233118311e-09  1.659741887e-09 -5.235990112e-01
8.000000000e-02 -2.482273808e-08  1.151518939e-07 -5.235997097e-01  1.047196769e+00 -5.235992858e-01 -1.260536807e-07 -2.912864258e-08  4.921720310e-08 -5.235996055e-01  1.047196621e+00 -5.235994426e-01  2.515698959e-07  1.745329078e+00  1.221554987e-08 -1.627710125e-09 -5.235990128e-01  1.745329077e+00 -6.902640310e-09  1.906249376e-09 -5.235990128e-01
9.000000000e-02 -2.647887979e-08  1.324898756e-07 -5.235998504e-01  1.047196571e+00 -5.235993710e-01 -1.409594804e-07 -3.366629693e-08  5.940344573e-08 -5.235997339e-01  1.047196404e+00 -5.235995457e-01  2.796336969e-07  1.745329088e+00  1.385436819e-08 -1.778324901e-09 -5.235990144e-01  1.745329086e+00 -7.510143287e-09  2.155119054e-09 -5.235990144e-01
