0.000000000e+00  0.000000000e+00 -0.000000000e+00  0.000000000e+00
1.000000000e-02 1.886343163e-09 1.588512843e-07 4.793391054e-09
2.000000000e-02 3.118860890e-09 3.471641934e-07 1.345779397e-08
3.000000000e-02 7.182279901e-09 5.664825116e-07 2.342710299e-08
4.000000000e-02 1.085265805e-08 8.192886776e-07 3.215773837e-08
5.000000000e-02 1.409535836e-08 1.104410750e-06 4.153068696e-08
6.000000000e-02 1.803445191e-08 1.422571120e-06 4.927305753e-08
7.000000000e-02 2.111430520e-08 1.773929002e-06 5.661946312e-08
8.000000000e-02 2.473233848e-08 2.157459442e-06 6.372768988e-08
9.000000000e-02 2.836086439e-08 2.574415354e-06 7.006971325e-08
1.000000000e-01 3.087233859e-08 3.024187046e-06 7.479642497e-08
1.100000000e-01 3.401036468e-08 3.506606307e-06 8.048700363e-08
1.200000000e-01 3.775217799e-08 4.022125278e-06 8.517457864e-08
1.300000000e-01 4.053721659e-08 4.570709135e-06 8.905056082e-08
1.400000000e-01 4.251635869e-08 5.152017790e-06 9.255601418e-08
1.500000000e-01 4.607161071e-08 5.766363610e-06 9.627613048e-08
1.600000000e-01 4.892899371e-08 6.414347556e-06 9.866025619e-08
1.700000000e-01 5.155686137e-08 7.094814870e-06 9.958807723e-08
1.800000000e-01 5.477957724e-08 7.807754484e-06 1.017817272e-07
1.900000000e-01 5.772256274e-08 8.553546942e-06 1.040434519e-07
2.000000000e-01 5.972918481e-08 9.333226303e-06 1.056198740e-07
2.100000000e-01 6.180440113e-08 1.014540801e-05 1.066151743e-07
2.200000000e-01 6.446930895e-08 1.099084541e-05 1.070076136e-07
2.300000000e-01 6.666285775e-08 1.186978610e-05 1.065742663e-07
2.400000000e-01 6.896523825e-08 1.278139552e-05 1.061020352e-07
2.500000000e-01 7.167302058e-08 1.372560973e-05 1.061639591e-07
2.600000000e-01 7.423517694e-08 1.470347334e-05 1.064400791e-07
2.700000000e-01 7.628791118e-08 1.571397533e-05 1.049297173e-07
2.800000000e-01 7.829143498e-08 1.675775670e-05 1.034329723e-07
2.900000000e-01 7.933584658e-08 1.783819955e-05 1.009017889e-07
3.000000000e-01 8.021945882e-08 1.895103346e-05 9.839288787e-08
3.100000000e-01 8.274904559e-08 2.009285115e-05 1.000233094e-07
3.200000000e-01 8.563671319e-08 2.126692817e-05 1.015178435e-07
3.300000000e-01 8.822625368e-08 2.247348675e-05 1.030251429e-07
3.400000000e-01 9.081779788e-08 2.371360452e-05 1.045175306e-07
3.500000000e-01 9.363278533e-08 2.498745750e-05 1.043809634e-07
3.600000000e-01 9.643494918e-08 2.629317148e-05 1.054759533e-07
3.700000000e-01 9.857522486e-08 2.763292505e-05 1.055878933e-07
3.800000000e-01 1.015319808e-07 2.900671824e-05 1.034814236e-07
3.900000000e-01 1.046155508e-07 3.041218277e-05 1.022778056e-07
4.000000000e-01 1.071380315e-07 3.185125299e-05 1.022019901e-07
4.100000000e-01 1.101498761e-07 3.332415236e-05 1.015022036e-07
4.200000000e-01 1.128665857e-07 3.482937321e-05 1.007148881e-07
4.300000000e-01 1.151924762e-07 3.636810077e-05 9.901350743e-08
4.400000000e-01 1.174844849e-07 3.794084410e-05 9.601052586e-08
4.500000000e-01 1.204650193e-07 3.954623756e-05 9.255568082e-08
4.600000000e-01 1.229767882e-07 4.118447534e-05 9.024298667e-08
4.700000000e-01 1.251252903e-07 4.285674347e-05 8.751594683e-08
4.800000000e-01 1.271350487e-07 4.456279122e-05 8.315751878e-08
4.900000000e-01 1.297787739e-07 4.630166262e-05 7.890889936e-08
5.000000000e-01 1.317454647e-07 4.807319605e-05 7.591178879e-08
5.100000000e-01 1.342209554e-07 4.987869927e-05 7.240861768e-08
5.200000000e-01 1.367515990e-07 5.171746110e-05 6.718119298e-08
5.300000000e-01 1.391921810e-07 5.359015660e-05 6.301010186e-08
5.400000000e-01 1.414622870e-07 5.549551051e-05 5.749774670e-08
5.500000000e-01 1.434738567e-07 5.743380141e-05 5.194677298e-08
5.600000000e-01 1.453681975e-07 5.940576447e-05 4.657304136e-08
5.700000000e-01 1.478277130e-07 6.141192188e-05 4.068970639e-08
5.800000000e-01 1.504763890e-07 6.345084691e-05 3.401831257e-08
5.900000000e-01 1.521068024e-07 6.552237098e-05 2.943367575e-08
6.000000000e-01 1.538564173e-07 6.762859906e-05 2.328488656e-08
6.100000000e-01 1.553152421e-07 6.976740751e-05 1.730126072e-08
6.200000000e-01 1.577456390e-07 7.194117566e-05 1.008035778e-08
6.300000000e-01 1.596105614e-07 7.414609291e-05 3.077726862e-09
6.400000000e-01  1.613366268e-07  7.638569570e-05 -4.471661878e-09
6.500000000e-01  1.628428282e-07  7.865812715e-05 -1.166121575e-08
6.600000000e-01  1.650520461e-07  8.096520735e-05 -2.041834766e-08
6.700000000e-01  1.670787241e-07  8.330495456e-05 -2.943309596e-08
6.800000000e-01  1.684494635e-07  8.567761417e-05 -3.677585651e-08
6.900000000e-01  1.700493319e-07  8.808412978e-05 -4.544254538e-08
7.000000000e-01  1.713323983e-07  9.052448035e-05 -5.329203095e-08
7.100000000e-01  1.727707321e-07  9.299816544e-05 -6.204564740e-08
7.200000000e-01  1.746724514e-07  9.550533985e-05 -7.269381110e-08
7.300000000e-01  1.761391923e-07  9.804546433e-05 -8.217968969e-08
7.400000000e-01  1.776235363e-07  1.006195663e-04 -9.182970739e-08
7.500000000e-01  1.792820913e-07  1.032275100e-04 -1.021134653e-07
7.600000000e-01  1.805875782e-07  1.058683790e-04 -1.115624754e-07
