0.000000000e+00 -5.192523171e-03 -6.569747226e-06  2.400325572e-01
1.000000000e-02 -5.192506095e-03 -6.572059828e-06  2.400317194e-01
2.000000000e-02 -5.192485456e-03 -6.575769660e-06  2.400308907e-01
3.000000000e-02 -5.192460954e-03 -6.580152999e-06  2.400300710e-01
4.000000000e-02 -5.192431948e-03 -6.584599289e-06  2.400292604e-01
5.000000000e-02 -5.192398683e-03 -6.588845125e-06  2.400284585e-01
6.000000000e-02 -5.192360983e-03 -6.593210593e-06  2.400276656e-01
7.000000000e-02 -5.192318861e-03 -6.597466133e-06  2.400268813e-01
8.000000000e-02 -5.192272483e-03 -6.601399481e-06  2.400261057e-01
9.000000000e-02 -5.192221632e-03 -6.605510744e-06  2.400253387e-01
1.000000000e-01 -5.192166407e-03 -6.609476878e-06  2.400245802e-01
1.100000000e-01 -5.192106820e-03 -6.613385985e-06  2.400238300e-01
1.200000000e-01 -5.192042746e-03 -6.617206965e-06  2.400230883e-01
1.300000000e-01 -5.191974433e-03 -6.621288187e-06  2.400223549e-01
1.400000000e-01 -5.191901744e-03 -6.625064995e-06  2.400216296e-01
1.500000000e-01 -5.191824542e-03 -6.628832399e-06  2.400209124e-01
1.600000000e-01 -5.191742907e-03 -6.632622516e-06  2.400202033e-01
1.700000000e-01 -5.191657014e-03 -6.636241973e-06  2.400195022e-01
1.800000000e-01 -5.191566725e-03 -6.639879540e-06  2.400188088e-01
1.900000000e-01 -5.191472129e-03 -6.643650835e-06  2.400181234e-01
2.000000000e-01 -5.191372992e-03 -6.647516045e-06  2.400174458e-01
2.100000000e-01 -5.191269661e-03 -6.651113326e-06  2.400167758e-01
2.200000000e-01 -5.191161728e-03 -6.654619690e-06  2.400161135e-01
2.300000000e-01 -5.191049413e-03 -6.658291250e-06  2.400154588e-01
2.400000000e-01 -5.190932803e-03 -6.661842352e-06  2.400148116e-01
2.500000000e-01 -5.190811847e-03 -6.665520432e-06  2.400141718e-01
2.600000000e-01 -5.190686426e-03 -6.669320704e-06  2.400135393e-01
2.700000000e-01 -5.190556687e-03 -6.673041557e-06  2.400129142e-01
2.800000000e-01 -5.190422572e-03 -6.676743394e-06  2.400122964e-01
2.900000000e-01 -5.190283135e-03 -6.679478728e-06  2.400116857e-01
3.000000000e-01 -5.190139444e-03 -6.682219998e-06  2.400110823e-01
3.100000000e-01 -5.189992605e-03 -6.686175658e-06  2.400104858e-01
3.200000000e-01 -5.189841567e-03 -6.690570028e-06  2.400098964e-01
3.300000000e-01 -5.189686243e-03 -6.694583853e-06  2.400093139e-01
3.400000000e-01 -5.189526415e-03 -6.699051981e-06  2.400087383e-01
3.500000000e-01 -5.189362100e-03 -6.703162143e-06  2.400081695e-01
