0.000000000e+00 -1.971881179e-07 -1.771676571e-07 -8.451237922e-05
1.000000000e-02 -1.064514362e-07 -1.828687060e-07 -8.376396369e-05
2.000000000e-02 -9.378866208e-08 -3.328097565e-07 -8.297762747e-05
3.000000000e-02  1.663544224e-08 -3.892293008e-07 -8.217245747e-05
4.000000000e-02  7.505619021e-08 -3.406733683e-07 -8.136277140e-05
5.000000000e-02  2.342511878e-07 -3.629673696e-07 -8.055973656e-05
6.000000000e-02  3.341831074e-07 -3.697324340e-07 -7.972743439e-05
7.000000000e-02  3.616619671e-07 -3.630853448e-07 -7.900549046e-05
8.000000000e-02  4.937233824e-07 -3.456954146e-07 -7.820271231e-05
9.000000000e-02  5.712573415e-07 -3.613007334e-07 -7.739903535e-05
1.000000000e-01  6.467245939e-07 -3.418161654e-07 -7.666434038e-05
1.100000000e-01  7.381793327e-07 -3.623993902e-07 -7.594447087e-05
1.200000000e-01  8.593957518e-07 -3.676999478e-07 -7.517994145e-05
1.300000000e-01  9.050536925e-07 -3.939473567e-07 -7.442708475e-05
1.400000000e-01  1.036263254e-06 -3.443920112e-07 -7.368784238e-05
1.500000000e-01  1.152817287e-06 -3.808421670e-07 -7.295652639e-05
1.600000000e-01  1.191925004e-06 -3.697189496e-07 -7.223861452e-05
1.700000000e-01  1.299164593e-06 -3.416059945e-07 -7.152381408e-05
1.800000000e-01  1.408029805e-06 -3.746057409e-07 -7.086913091e-05
1.900000000e-01  1.473310363e-06 -3.484580603e-07 -7.013850258e-05
2.000000000e-01  1.570910140e-06 -3.844949763e-07 -6.943391324e-05
2.100000000e-01  1.666582854e-06 -3.700582949e-07 -6.877622935e-05
2.200000000e-01  1.778146067e-06 -3.961811020e-07 -6.811567836e-05
2.300000000e-01  1.870104128e-06 -3.859000492e-07 -6.740312803e-05
2.400000000e-01  1.937457402e-06 -4.212621468e-07 -6.681053817e-05
2.500000000e-01  2.022150972e-06 -3.968427730e-07 -6.614804305e-05
2.600000000e-01  2.131563866e-06 -4.101475151e-07 -6.546633866e-05
